prop_name,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region,district,facility_count,has_pool,has_gym,additional_facility_count,near_rail,has_ac,cooking_allowed,has_internet,rent
Flat Danau Kota,Apartment,3.0,0.0,2.0,700.0,0,"Lift, Minimart",Cooking Allowed,Kuala Lumpur,Setapak,2,0,0,1,0,0,1,0,1100.0
Vista Komanwel C,Apartment,6.0,1.0,3.0,1400.0,2,"Barbeque area, Minimart, Jogging Track, Playground, Swimming Pool, Lift, Security, Gymnasium, Sauna",,Kuala Lumpur,Bukit Jalil,9,1,1,1,0,0,0,0,1800.0
VIM 3 @ Desa Park North,Service Residence,2.0,1.0,2.0,630.0,2,"Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Kepong,9,1,1,3,0,1,1,0,2499.0
Metroview Condominium,Condominium,3.0,1.0,2.0,1200.0,1,"Gymnasium, Barbeque area, Minimart, Security, Playground, Swimming Pool",,Kuala Lumpur,Setapak,6,1,1,1,0,0,0,0,1500.0
G Residence @ Desa Pandan,Service Residence,2.0,2.0,2.0,1410.0,2,"Security, Swimming Pool, Gymnasium, Multipurpose hall, Club house, Sauna, Barbeque area, Minimart, Jogging Track, Playground, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Desa Pandan,11,1,1,4,1,1,1,0,3800.0
Sofiya Residences,Condominium,3.0,1.0,2.0,862.0,1,"Security, Playground",,Kuala Lumpur,Desa ParkCity,2,0,0,1,0,0,0,0,1900.0
Sofiya Residences,Condominium,3.0,1.0,2.0,862.0,2,"Security, Playground",,Kuala Lumpur,Desa ParkCity,2,0,0,1,0,0,0,0,2200.0
Majestic Maxim,Service Residence,3.0,0.0,2.0,819.0,1,"Security, Lift, Gymnasium, Playground, Swimming Pool, Barbeque area, Jogging Track, Sauna, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Cheras,10,1,1,3,1,1,1,0,1800.0
The Loft @ ZetaPark,Condominium,3.0,2.0,2.0,1300.0,1,"Jogging Track, Security, Swimming Pool, Multipurpose hall, Sauna, Gymnasium",,Kuala Lumpur,Setapak,6,1,1,1,0,0,0,0,1900.0
UNA Serviced Apartment @ Peel,Service Residence,2.0,1.0,2.0,1012.0,2,"Swimming Pool, Playground, Gymnasium","Air-Cond, Cooking Allowed",Kuala Lumpur,Cheras,3,1,1,2,0,1,1,0,3000.0
Laman Suria (Mont Kiara),Condominium,3.0,1.0,2.0,1150.0,2,"Security, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Tennis Court","Air-Cond, Cooking Allowed",Kuala Lumpur,Mont Kiara,7,1,1,2,0,1,1,0,2300.0
Lavile,Service Residence,3.0,2.0,2.0,860.0,2,"Swimming Pool, Gymnasium, Barbeque area, Multipurpose hall, Security, Lift, Playground","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur,Cheras,7,1,1,4,1,1,1,0,2300.0
Desa Dua Aman Puri,Apartment,3.0,1.0,2.0,800.0,1,"Jogging Track, Minimart, Security, Lift, Playground",Cooking Allowed,Kuala Lumpur,Kepong,5,0,0,1,0,0,1,0,800.0
Residensi Rampai II,Apartment,4.0,2.0,2.0,950.0,2,"Security, Playground, Barbeque area, Jogging Track, Multipurpose hall, Swimming Pool, Gymnasium, Sauna, Lift, Club house","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur,Setapak,10,1,1,4,1,1,1,0,2000.0
The Holmes,Condominium,3.0,2.0,2.0,1018.0,2,,,Kuala Lumpur,Cheras,0,0,0,1,0,0,0,0,2000.0
KL Traders Square,Condominium,4.0,1.0,2.0,940.0,1,,,Kuala Lumpur,Setapak,0,0,0,1,0,0,0,0,1500.0
Taman sungai besi shop apartment,Apartment,2.0,0.0,2.0,1305.0,0,,,Kuala Lumpur,Sungai Besi,0,0,0,1,0,0,0,0,700.0
Taman Miharja Apartment (LRT Miharja),Apartment,2.0,0.0,1.0,600.0,0,,,Kuala Lumpur,Cheras,1,0,0,1,0,0,0,0,1000.0
Parc 3,Service Residence,2.0,1.0,2.0,737.0,2,"Gymnasium, Multipurpose hall, Jogging Track, Lift, Barbeque area, Playground, Security",Air-Cond,Kuala Lumpur,Cheras,7,0,1,1,0,1,0,0,2200.0
Sri Kenangan,Condominium,4.0,1.0,2.0,1250.0,1,"Minimart, Playground, Swimming Pool, Security, Barbeque area",,Kuala Lumpur,Wangsa Maju,5,1,0,1,0,0,0,0,1600.0
Vista Angkasa,Apartment,2.0,0.0,2.0,560.0,0,"Minimart, Swimming Pool, Security, Jogging Track",,Kuala Lumpur,Bangsar South,4,1,0,1,0,0,0,0,1299.0
Arte Mont Kiara,Service Residence,2.0,0.0,1.0,925.0,2,,,Kuala Lumpur,Mont Kiara,0,0,0,1,0,0,0,0,3000.0
Arte Plus Jalan Ampang,Service Residence,2.0,1.0,2.0,831.0,2,"Jogging Track, Playground, Gymnasium",,Kuala Lumpur,Ampang,3,0,1,1,0,0,0,0,1700.0
Vista Komanwel C,Condominium,6.0,1.0,3.0,1410.0,2,"Jogging Track, Barbeque area, Swimming Pool, Security, Playground, Sauna, Minimart, Gymnasium, Lift",,Kuala Lumpur,Bukit Jalil,9,1,1,1,0,0,0,0,1999.0
Platinum Lake PV 21,Condominium,2.0,1.0,2.0,910.0,2,,,Kuala Lumpur,Setapak,0,0,0,1,0,0,0,0,1550.0
Delima J Apartment,Apartment,3.0,1.0,2.0,1010.0,2,,,Kuala Lumpur,Desa Pandan,0,0,0,1,0,0,0,0,1299.0
Arte Plus Jalan Ampang,Service Residence,3.0,0.0,2.0,891.0,2,"Jogging Track, Playground, Gymnasium",,Kuala Lumpur,Ampang,3,0,1,1,0,0,0,0,2000.0
The Pearl (Pearl Point),Condominium,3.0,1.0,2.0,1100.0,2,"Swimming Pool, Sauna, Minimart, Security, Playground, Gymnasium",,Kuala Lumpur,Old Klang Road,6,1,1,1,0,0,0,0,1600.0
Abadi Indah,Condominium,3.0,1.0,2.0,950.0,1,"Minimart, Security, Playground, Swimming Pool, Squash Court, Gymnasium, Tennis Court",,Kuala Lumpur,Taman Desa,7,1,1,1,0,0,0,0,1100.0
CitiZen,Condominium,2.0,1.0,2.0,730.0,2,"Swimming Pool, Gymnasium, Playground, Jogging Track, Barbeque area, Sauna, Multipurpose hall, Security",,Kuala Lumpur,Old Klang Road,8,1,1,1,0,0,0,0,1799.0
Casa Mutiara,Service Residence,2.0,1.0,2.0,742.0,2,"Barbeque area, Playground, Security, Gymnasium, Swimming Pool, Sauna",,Kuala Lumpur,Bukit Bintang,6,1,1,1,0,0,0,0,1900.0
Arte Mont Kiara,Duplex,2.0,1.0,2.0,886.0,2,"Security, Lift, Swimming Pool",Air-Cond,Kuala Lumpur,Mont Kiara,3,1,0,1,0,1,0,0,3500.0
KL Traders Square Residences,Service Residence,3.0,1.0,2.0,911.0,2,,,Kuala Lumpur,Gombak,0,0,0,1,0,0,0,0,2000.0
Laman Damai,Apartment,3.0,0.0,2.0,650.0,0,"Jogging Track, Minimart, Playground",,Kuala Lumpur,Kepong,3,0,0,1,0,0,0,0,700.0
Vista Langkawi @ PV18,Service Residence,3.0,1.0,2.0,926.0,0,"Swimming Pool, Security, Lift, Playground, Multipurpose hall","Air-Cond, Cooking Allowed",Kuala Lumpur,Setapak,5,1,0,2,0,1,1,0,1600.0
Mutiara Residency,Condominium,1.0,0.0,1.0,450.0,2,"Swimming Pool, Security, Gymnasium, Playground, Lift, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Brickfields,6,1,1,4,1,1,1,0,1550.0
Trinity Aquata,Condominium,3.0,2.0,2.0,839.0,2,"Swimming Pool, Security, Gymnasium, Jogging Track",,Kuala Lumpur,Sungai Besi,4,1,1,1,0,0,0,0,2200.0
The Address @ Taman Desa,Condominium,3.0,0.0,1.0,1118.0,2,"Barbeque area, Swimming Pool, Sauna, Gymnasium, Jogging Track, Security, Minimart, Lift, Playground, Multipurpose hall","Washing Machine, Air-Cond, Cooking Allowed",Kuala Lumpur,Taman Desa,10,1,1,3,0,1,1,0,3700.0
Perumahan Penjawat Awam 1 Malaysia (PPA1M) Bukit Jalil,Apartment,3.0,1.0,2.0,1000.0,0,"Swimming Pool, Security, Minimart, Jogging Track",,Kuala Lumpur,Bukit Jalil,4,1,0,1,0,0,0,0,1100.0
KL Traders Square Residences,Service Residence,4.0,2.0,2.0,991.0,2,,,Kuala Lumpur,Gombak,0,0,0,1,0,0,0,0,2000.0
Kenanga Point,Condominium,3.0,1.0,2.0,860.0,1,"Playground, Gymnasium, Tennis Court, Sauna, Security, Swimming Pool, Squash Court, Barbeque area, Lift, Minimart, Jogging Track, Multipurpose hall","Washing Machine, Near KTM/LRT, Cooking Allowed",Kuala Lumpur,Pudu,12,1,1,3,1,0,1,0,1650.0
KL Traders Square Residences,Service Residence,4.0,0.0,2.0,970.0,1,,,Kuala Lumpur,Gombak,0,0,0,1,0,0,0,0,1800.0
Residensi Jalilmas,Apartment,3.0,1.0,2.0,800.0,1,"Security, Minimart, Multipurpose hall",,Kuala Lumpur,Bukit Jalil,3,0,0,1,0,0,0,0,1200.0
Sofiya Residences,Condominium,3.0,0.0,2.0,862.0,1,"Security, Playground",,Kuala Lumpur,Desa ParkCity,2,0,0,1,0,0,0,0,1900.0
Eco Sky,Service Residence,2.0,1.0,2.0,900.0,1,"Security, Lift, Gymnasium, Sauna, Barbeque area, Swimming Pool, Playground, Multipurpose hall, Minimart, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Jalan Ipoh,10,1,1,4,1,1,1,0,1780.0
Sofiya Residences,Condominium,3.0,0.0,2.0,862.0,2,"Security, Playground",,Kuala Lumpur,Desa ParkCity,2,0,0,1,0,0,0,0,2200.0
PPA1M Bukit Jalil,Apartment,3.0,1.0,2.0,1200.0,1,"Security, Lift, Playground, Minimart, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Bukit Jalil,5,0,1,3,1,1,1,0,1200.0
The Westside Two,Condominium,3.0,2.0,2.0,1388.0,1,,,Kuala Lumpur,Desa ParkCity,0,0,0,1,0,0,0,0,3900.0
38 Bidara,Condominium,2.0,0.0,2.0,710.0,2,"Gymnasium, Swimming Pool, Playground, Security, Lift, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,KLCC,6,1,1,4,1,1,1,0,2100.0
PV9 Residences @ Taman Melati,Service Residence,3.0,1.0,2.0,1050.0,1,"Security, Swimming Pool, Lift, Playground, Gymnasium, Minimart, Jogging Track","Cooking Allowed, Near KTM/LRT, Washing Machine, Internet, Air-Cond",Kuala Lumpur,Setapak,7,1,1,5,1,1,1,1,1700.0
Residensi Metro Kepong,Apartment,3.0,0.0,2.0,1200.0,2,Playground,,Kuala Lumpur,Kepong,1,0,0,1,0,0,0,0,1000.0
Bukit Pandan 2,Condominium,3.0,0.0,2.0,1075.0,1,,,Kuala Lumpur,Cheras,0,0,0,1,0,0,0,0,1450.0
The Park Sky Residence @ Bukit Jalil City,Service Residence,2.0,0.0,2.0,868.0,1,"Playground, Swimming Pool, Security, Multipurpose hall",,Kuala Lumpur,Bukit Jalil,4,1,0,1,0,0,0,0,2600.0
GCB Court,Condominium,4.0,0.0,4.0,1615.0,2,"Squash Court, Security, Playground, Gymnasium, Swimming Pool, Tennis Court, Sauna, Barbeque area",,Kuala Lumpur,Ampang,8,1,1,1,0,0,0,0,2800.0
Bandar Tasik Selatan (Low Cost),Apartment,3.0,0.0,2.0,650.0,0,Playground,Near KTM/LRT,Kuala Lumpur,Cheras,1,0,0,1,1,0,0,0,800.0
Vista Angkasa,Apartment,2.0,0.0,2.0,555.0,1,"Security, Jogging Track, Swimming Pool, Minimart",,Kuala Lumpur,Bangsar South,4,1,0,1,0,0,0,0,1300.0
Platinum Lake PV 12,Condominium,4.0,1.0,2.0,1313.0,1,"Playground, Swimming Pool, Minimart, Security, Gymnasium","Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Setapak,5,1,1,2,1,0,1,0,1600.0
South View,Service Residence,2.0,1.0,2.0,823.0,2,"Barbeque area, Multipurpose hall, Security, Gymnasium, Playground, Swimming Pool",,Kuala Lumpur,Bangsar South,6,1,1,1,0,0,0,0,2600.0
PANGSAPURI SRI MALAYSIA,Flat,3.0,1.0,2.0,650.0,1,"Lift, Security, Minimart","Near KTM/LRT, Cooking Allowed",Kuala Lumpur,Sungai Besi,3,0,0,2,1,0,1,0,800.0
OG Heights,Condominium,3.0,1.0,2.0,1100.0,2,"Barbeque area, Security, Playground, Swimming Pool, Lift, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Pantai,6,1,0,4,1,1,1,0,1400.0
8 Kinrara,Service Residence,3.0,0.0,2.0,1096.0,2,"Security, Playground, Swimming Pool, Gymnasium, Jogging Track",,Kuala Lumpur,Puchong,5,1,1,1,0,0,0,0,2900.0
The Era,Service Residence,3.0,0.0,2.0,1033.0,1,"Jogging Track, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Segambut,9,1,1,3,0,1,1,0,2300.0
Sri Putramas,Condominium,3.0,1.0,2.0,1200.0,1,"Security, Playground, Tennis Court, Sauna, Swimming Pool, Minimart, Barbeque area, Gymnasium, Lift, Club house","Air-Cond, Cooking Allowed",Kuala Lumpur,Jalan Kuching,10,1,1,2,0,1,1,0,1700.0
Bayu Tasik 2,Condominium,3.0,1.0,2.0,960.0,1,"Security, Gymnasium, Playground, Swimming Pool, Lift","Washing Machine, Air-Cond",Kuala Lumpur,Cheras,5,1,1,2,0,1,0,0,1600.0
Platinum Teratai Residence,Apartment,3.0,1.0,2.0,928.0,1,"Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur,Setapak,9,1,1,5,1,1,1,1,1500.0
Nadia,Condominium,2.0,0.0,2.0,1163.0,2,"Security, Swimming Pool, Playground",,Kuala Lumpur,Desa ParkCity,3,1,0,1,0,0,0,0,2500.0
Sri Putramas,Condominium,3.0,1.0,2.0,1100.0,2,"Security, Playground, Tennis Court, Sauna, Swimming Pool, Minimart, Barbeque area, Gymnasium, Lift, Club house, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Jalan Kuching,11,1,1,3,0,1,1,0,1700.0
Desa Tun Razak,Apartment,2.0,0.0,1.0,668.0,1,,,Kuala Lumpur,Cheras,0,0,0,1,0,0,0,0,1150.0
M Centura,Service Residence,3.0,1.0,2.0,850.0,2,,,Kuala Lumpur,Sentul,0,0,0,1,0,0,0,0,2400.0
Parkview Service Apartment,Condominium,1.0,0.0,1.0,660.0,2,"Playground, Gymnasium, Minimart, Swimming Pool, Tennis Court, Squash Court, Jogging Track, Security",,Kuala Lumpur,KLCC,8,1,1,1,0,0,0,0,2500.0
Delima J Apartment,Apartment,3.0,0.0,2.0,1000.0,2,,"Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Desa Pandan,1,0,0,3,0,1,1,0,1500.0
The Pano,Condominium,2.0,1.0,2.0,826.0,1,"Multipurpose hall, Security, Gymnasium, Barbeque area, Playground",,Kuala Lumpur,Sentul,5,0,1,1,0,0,0,0,2100.0
Seksyen 1 Wangsa Maju Flat,Flat,2.0,0.0,1.0,600.0,1,Minimart,"Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Wangsa Maju,1,0,0,3,1,0,1,0,1400.0
Bayu Andaman,Apartment,3.0,0.0,2.0,1000.0,1,"Lift, Gymnasium, Sauna, Security, Playground, Swimming Pool, Minimart, Squash Court","Near KTM/LRT, Cooking Allowed",Kuala Lumpur,Sentul,8,1,1,2,1,0,1,0,1350.0
M Centura,Service Residence,3.0,1.0,2.0,850.0,2,"Security, Lift, Swimming Pool, Playground, Gymnasium, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Sentul,6,1,1,3,0,1,1,0,2300.0
Cengal Condominium,Condominium,3.0,0.0,2.0,926.0,1,"Security, Playground","Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Cheras,2,0,0,2,1,0,1,0,1400.0
1 Petaling,Condominium,3.0,1.0,2.0,904.0,1,"Barbeque area, Security, Swimming Pool, Multipurpose hall, Playground, Jogging Track, Lift, Gymnasium, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Sungai Besi,9,1,1,4,1,1,1,0,1100.0
Eco Sky,Service Residence,3.0,2.0,2.0,1088.0,2,"Security, Lift, Gymnasium, Sauna, Barbeque area, Swimming Pool, Playground, Multipurpose hall, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur,Jalan Ipoh,9,1,1,5,1,1,1,1,2450.0
Viva Residency,Condominium,2.0,1.0,2.0,900.0,2,"Gymnasium, Security, Swimming Pool, Playground, Lift, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Jalan Ipoh,6,1,1,4,1,1,1,0,1780.0
M Centura,Condominium,3.0,1.0,2.0,850.0,1,"Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track","Cooking Allowed, Near KTM/LRT, Internet",Kuala Lumpur,Sentul,9,1,1,3,1,0,1,1,1600.0
The Hipster @ Taman Desa,Service Residence,3.0,2.0,2.0,921.0,1,"Security, Gymnasium, Minimart, Swimming Pool, Multipurpose hall, Playground, Lift","Air-Cond, Cooking Allowed",Kuala Lumpur,Taman Desa,7,1,1,2,0,1,1,0,1800.0
SkyMeridien Residences @ Sentul East,Condominium,3.0,2.0,2.0,1000.0,2,"Tennis Court, Barbeque area, Sauna, Swimming Pool, Jogging Track, Lift, Security, Playground, Gymnasium, Squash Court, Multipurpose hall, Club house, Minimart",,Kuala Lumpur,Sentul,13,1,1,1,0,0,0,0,2350.0
Villa Crystal,Condominium,3.0,2.0,3.0,1155.0,2,"Security, Playground, Swimming Pool, Gymnasium, Jogging Track, Sauna",,Kuala Lumpur,Segambut,6,1,1,1,0,0,0,0,2000.0
PPR Sri Aman,Apartment,3.0,0.0,2.0,1000.0,2,Lift,"Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Kepong,1,0,0,2,1,0,1,0,1000.0
Mizumi Residences,Service Residence,4.0,2.0,2.0,932.0,2,"Multipurpose hall, Club house, Security, Minimart, Gymnasium, Jogging Track, Sauna, Swimming Pool, Lift, Playground, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Kepong,12,1,1,3,0,1,1,0,1800.0
M Centura,Service Residence,3.0,1.0,2.0,850.0,1,"Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed",Kuala Lumpur,Sentul,9,1,1,2,0,1,1,0,1500.0
Beverly 2 (Bandar Menjalara),Condominium,3.0,1.0,2.0,918.0,2,"Barbeque area, Playground, Gymnasium, Security, Swimming Pool, Jogging Track",,Kuala Lumpur,Kepong,6,1,1,1,0,0,0,0,1500.0
The Herz,Apartment,3.0,2.0,2.0,1216.0,2,"Barbeque area, Jogging Track, Lift, Gymnasium, Club house, Playground, Swimming Pool, Security, Tennis Court, Sauna, Minimart, Squash Court, Multipurpose hall",,Kuala Lumpur,Kepong,13,1,1,1,0,0,0,0,2300.0
Residensi Desa Satumas,Condominium,3.0,1.0,2.0,800.0,1,"Security, Playground, Multipurpose hall",,Kuala Lumpur,Taman Desa,3,0,0,1,0,0,0,0,1499.0
The Saffron,Condominium,2.0,1.0,2.0,1100.0,2,"Jogging Track, Playground, Tennis Court, Minimart, Squash Court, Barbeque area, Club house, Swimming Pool, Gymnasium, Security",,Kuala Lumpur,Sentul,10,1,1,1,0,0,0,0,1799.0
Affiniti Apartment Bukit Serdang,Apartment,3.0,2.0,2.0,850.0,1,,"Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Serdang,0,0,0,2,1,0,1,0,1400.0
Lakeville Residence,Condominium,3.0,2.0,2.0,978.0,2,"Security, Lift, Swimming Pool, Playground, Jogging Track, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Jalan Ipoh,6,1,1,3,0,1,1,0,2200.0
Platinum Lake PV 12,Condominium,4.0,1.0,2.0,1272.0,1,"Swimming Pool, Security, Minimart, Gymnasium, Playground",,Kuala Lumpur,Setapak,5,1,1,1,0,0,0,0,1600.0
Abadi Indah,Condominium,3.0,1.0,2.0,950.0,1,"Swimming Pool, Gymnasium, Tennis Court, Security, Squash Court, Minimart, Playground, Barbeque area, Lift","Air-Cond, Cooking Allowed",Kuala Lumpur,Taman Desa,9,1,1,2,0,1,1,0,1350.0
Residence 8,Condominium,1.0,0.0,1.0,350.0,2,"Security, Gymnasium, Barbeque area, Playground, Sauna, Multipurpose hall, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Old Klang Road,7,1,1,4,1,1,1,0,1200.0
The Holmes,Condominium,3.0,2.0,2.0,1100.0,2,"Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Club house, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Cheras,12,1,1,4,1,1,1,0,2000.0
Residensi Kepongmas 2,Apartment,3.0,1.0,2.0,850.0,1,"Security, Lift, Playground",Near KTM/LRT,Kuala Lumpur,Kepong,3,0,0,1,1,0,0,0,1300.0
Damansara Foresta,Condominium,3.0,2.0,3.0,1610.0,2,"Jogging Track, Sauna, Club house, Swimming Pool, Security, Minimart, Playground, Barbeque area",,Kuala Lumpur,Sri Damansara,8,1,0,1,0,0,0,0,2800.0
Damansara Foresta,Condominium,4.0,3.0,5.0,3150.0,2,"Jogging Track, Sauna, Club house, Swimming Pool, Security, Minimart, Playground, Barbeque area",,Kuala Lumpur,Sri Damansara,8,1,0,1,0,0,0,0,4000.0
Residensi Suria Pantai,Apartment,3.0,0.0,2.0,850.0,1,"Security, Minimart, Playground, Swimming Pool, Multipurpose hall",,Kuala Lumpur,Pantai,5,1,0,1,0,0,0,0,1100.0
Arte Plus Jalan Ampang,Service Residence,2.0,1.0,2.0,800.0,2,"Playground, Jogging Track, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Ampang,3,0,1,4,1,1,1,0,1800.0
Perdana Villa Deluxe,Apartment,3.0,1.0,2.0,806.0,1,,Cooking Allowed,Kuala Lumpur,Cheras,0,0,0,1,0,0,1,0,1200.0
i-Zen @ Kiara 1,Condominium,2.0,1.0,2.0,913.0,2,"Gymnasium, Swimming Pool, Squash Court, Barbeque area, Sauna, Security, Playground",,Kuala Lumpur,Mont Kiara,7,1,1,1,0,0,0,0,2000.0
Residensi Pandanmas 1,Apartment,3.0,2.0,2.0,850.0,2,"Swimming Pool, Minimart, Playground, Gymnasium, Jogging Track, Lift, Sauna, Security","Air-Cond, Washing Machine",Kuala Lumpur,Desa Pandan,8,1,1,2,0,1,0,0,1500.0
Prima Setapak,Condominium,3.0,1.0,2.0,1200.0,0,,,Kuala Lumpur,Setapak,0,0,0,1,0,0,0,0,1199.0
M City,Service Residence,2.0,0.0,2.0,1042.0,1,"Lift, Sauna, Swimming Pool, Squash Court, Security, Jogging Track, Barbeque area, Minimart, Playground, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,KL City,10,1,1,3,0,1,1,0,2200.0
Seasons Garden Residences @ Wangsa Maju,Condominium,3.0,1.0,2.0,770.0,2,"Security, Minimart, Swimming Pool, Playground, Gymnasium",,Kuala Lumpur,Wangsa Maju,5,1,1,1,0,0,0,0,1750.0
Majestic Maxim,Condominium,3.0,1.0,2.0,819.0,0,"Security, Gymnasium, Lift, Swimming Pool, Barbeque area, Playground, Jogging Track",,Kuala Lumpur,Cheras,7,1,1,1,0,0,0,0,1400.0
i-Zen @ Kiara 1,Condominium,2.0,1.0,2.0,913.0,2,"Playground, Swimming Pool, Squash Court, Barbeque area, Sauna, Security, Gymnasium",,Kuala Lumpur,Mont Kiara,7,1,1,1,0,0,0,0,2200.0
Mizumi Residences,Service Residence,3.0,2.0,2.0,932.0,1,"Jogging Track, Multipurpose hall, Minimart, Sauna, Club house, Swimming Pool, Gymnasium, Security, Playground, Lift, Barbeque area","Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Kepong,11,1,1,2,1,0,1,0,1300.0
Angkasa Condominiums,Condominium,3.0,1.0,2.0,1000.0,1,"Minimart, Swimming Pool, Gymnasium, Tennis Court, Security, Playground","Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Cheras,6,1,1,2,1,0,1,0,1200.0
3 Towers,Service Residence,1.0,0.0,1.0,440.0,2,"Swimming Pool, Gymnasium, Multipurpose hall, Barbeque area, Security",,Kuala Lumpur,Ampang Hilir,5,1,1,1,0,0,0,0,1700.0
Genting Court Condominium,Condominium,3.0,1.0,2.0,850.0,1,"Minimart, Security, Lift, Playground, Jogging Track",Air-Cond,Kuala Lumpur,Setapak,5,0,0,1,0,1,0,0,950.0
Kl traders square,Condominium,3.0,2.0,2.0,1069.0,2,"Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Jogging Track, Multipurpose hall, Minimart","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Setapak,9,1,1,3,0,1,1,0,2000.0
i zen @ Kiara 2,Service Residence,4.0,2.0,3.0,1556.0,2,"Swimming Pool, Security, Jogging Track, Gymnasium",,Kuala Lumpur,Mont Kiara,4,1,1,1,0,0,0,0,5500.0
The Resident,Condominium,3.0,0.0,2.0,1271.0,1,"Playground, Swimming Pool, Lift, Security, Gymnasium, Sauna, Barbeque area, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Ampang,8,1,1,3,1,1,1,0,1600.0
Iris Apartment (Taman Desa),Apartment,2.0,0.0,2.0,600.0,1,Security,"Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Taman Desa,1,0,0,3,0,1,1,0,950.0
Casa Kiara 1,Condominium,4.0,0.0,3.0,1268.0,1,"Playground, Gymnasium, Minimart, Security, Lift, Swimming Pool, Jogging Track, Tennis Court","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Mont Kiara,8,1,1,3,0,1,1,0,3000.0
Putra Villa,Condominium,3.0,1.0,2.0,1100.0,2,"Security, Lift, Swimming Pool, Playground, Minimart, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Setapak,6,1,1,4,1,1,1,0,1900.0
Sky Awani 2 Residence,Condominium,3.0,0.0,2.0,800.0,1,"Barbeque area, Multipurpose hall, Playground, Gymnasium, Swimming Pool",,Kuala Lumpur,Sentul,5,1,1,1,0,0,0,0,1500.0
Sri Suajaya Condominiums,Condominium,3.0,1.0,2.0,1200.0,1,"Security, Lift, Swimming Pool, Playground, Minimart, Gymnasium, Sauna, Multipurpose hall, Club house, Jogging Track, Tennis Court","Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur,Sentul,11,1,1,4,1,0,1,1,1100.0
