prop_name,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region,district,facility_count,has_pool,has_gym,additional_facility_count,near_rail,has_ac,cooking_allowed,has_internet,rent
Bayu Sentul Condominium,Condominium,3.0,2.0,2.0,1300.0,1,,,Kuala Lumpur,Sentul,0,0,0,1,0,0,0,0,1900.0
Flexus Signature Suites,Studio,1.0,1.0,1.0,530.0,2,"Security, Sauna, Multipurpose hall, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Jalan Kuching,5,1,1,3,0,1,1,0,1500.0
Menjalara 18,Condominium,3.0,1.0,2.0,1316.0,2,"Barbeque area, Swimming Pool, Gymnasium, Club house, Minimart, Squash Court, Sauna","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Bandar Menjalara,7,1,1,3,0,1,1,0,2400.0
G Residence @ Desa Pandan,Service Residence,3.0,2.0,2.0,1539.0,2,"Multipurpose hall, Security, Gymnasium, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Desa Pandan,4,1,1,4,1,1,1,0,4500.0
Greenpark,Condominium,3.0,1.0,2.0,1270.0,1,"Security, Tennis Court, Swimming Pool, Playground, Lift, Jogging Track, Minimart, Gymnasium, Barbeque area","Air-Cond, Cooking Allowed, Internet",Kuala Lumpur,Old Klang Road,9,1,1,3,0,1,1,1,1400.0
Majestic Maxim,Service Residence,3.0,1.0,2.0,819.0,1,"Security, Swimming Pool, Lift, Gymnasium, Barbeque area, Jogging Track, Playground, Minimart, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet",Kuala Lumpur,Cheras,9,1,1,4,1,1,1,1,1800.0
Baiduri Apartment (Desa Pandan),Apartment,3.0,1.0,2.0,950.0,1,Security,,Kuala Lumpur,Desa Pandan,1,0,0,1,0,0,0,0,1500.0
Bennington Residences @ SkyArena,Condominium,3.0,2.0,2.0,1200.0,2,"Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Squash Court","Air-Cond, Cooking Allowed, Washing Machine, Internet",Kuala Lumpur,Setapak,10,1,1,4,0,1,1,1,3000.0
Sri Putramas,Condominium,3.0,1.0,2.0,1100.0,2,"Minimart, Swimming Pool, Sauna, Playground, Gymnasium, Security, Tennis Court, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Jalan Kuching,8,1,1,3,0,1,1,0,1600.0
Putra Villa,Condominium,3.0,0.0,2.0,1066.0,2,,,Kuala Lumpur,Setapak,0,0,0,1,0,0,0,0,1800.0
38 Bidara,Condominium,2.0,0.0,2.0,706.0,2,"Minimart, Swimming Pool, Sauna, Security, Gymnasium, Barbeque area, Club house, Playground",,Kuala Lumpur,KLCC,8,1,1,1,0,0,0,0,2100.0
3 Towers,Condominium,2.0,1.0,1.0,890.0,2,"Security, Gymnasium, Multipurpose hall, Barbeque area, Swimming Pool",,Kuala Lumpur,Ampang Hilir,5,1,1,1,0,0,0,0,2500.0
One Maxim,Service Residence,2.0,1.0,2.0,650.0,1,"Jogging Track, Playground, Swimming Pool, Gymnasium, Sauna, Multipurpose hall, Security, Barbeque area",,Kuala Lumpur,Sentul,8,1,1,1,0,0,0,0,1300.0
Casa Mutiara,Service Residence,2.0,1.0,2.0,742.0,2,"Gymnasium, Sauna, Playground, Security, Swimming Pool, Barbeque area",,Kuala Lumpur,Bukit Bintang,6,1,1,1,0,0,0,0,2000.0
Sofiya Residences,Condominium,3.0,1.0,2.0,862.0,2,"Security, Playground","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Desa ParkCity,2,0,0,3,0,1,1,0,2000.0
Laman Tasik,Condominium,4.0,1.0,3.0,1300.0,2,"Security, Minimart, Playground, Swimming Pool, Gymnasium",,Kuala Lumpur,Cheras,5,1,1,1,0,0,0,0,2100.0
Residensi Seri Wahyu @ Jalan Kuching KL,Apartment,3.0,1.0,2.0,805.0,1,"Squash Court, Jogging Track, Gymnasium, Swimming Pool, Lift, Security, Playground, Minimart",,Kuala Lumpur,KL City,8,1,1,1,0,0,0,0,1300.0
The Hamilton,Condominium,4.0,2.0,2.0,1000.0,2,"Playground, Jogging Track, Multipurpose hall, Swimming Pool, Barbeque area, Security, Gymnasium",,Kuala Lumpur,Wangsa Maju,7,1,1,1,0,0,0,0,2600.0
3 Towers,Service Residence,1.0,1.0,1.0,440.0,2,"Barbeque area, Multipurpose hall, Security, Swimming Pool, Gymnasium",,Kuala Lumpur,Ampang Hilir,5,1,1,1,0,0,0,0,2000.0
Menjalara 18,Condominium,5.0,2.0,3.0,1600.0,2,"Barbeque area, Swimming Pool, Gymnasium, Club house, Minimart, Squash Court, Sauna","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Bandar Menjalara,7,1,1,3,0,1,1,0,2500.0
The Havre @ Bukit Jalil,Condominium,3.0,2.0,2.0,1028.0,2,"Security, Squash Court, Jogging Track, Lift, Multipurpose hall, Minimart, Swimming Pool, Gymnasium, Barbeque area, Sauna, Club house, Playground, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Bukit Jalil,13,1,1,4,1,1,1,0,2500.0
M3 Residency,Condominium,3.0,1.0,2.0,950.0,1,,,Kuala Lumpur,Setapak,0,0,0,1,0,0,0,0,1600.0
Majestic Maxim,Service Residence,2.0,2.0,2.0,650.0,0,"Gymnasium, Jogging Track, Lift, Barbeque area, Security, Swimming Pool, Playground","Air-Cond, Near KTM/LRT, Cooking Allowed",Kuala Lumpur,Cheras,7,1,1,3,1,1,1,0,1400.0
D'Puncak Suasana,Apartment,3.0,2.0,2.0,1000.0,1,"Playground, Swimming Pool, Security, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet",Kuala Lumpur,KLCC,8,1,0,4,1,1,1,1,1000.0
Kaleidoscope,Condominium,3.0,0.0,2.0,1115.0,1,"Security, Lift, Swimming Pool, Playground, Club house",,Kuala Lumpur,Setiawangsa,5,1,0,1,0,0,0,0,2700.0
KL Traders Square Residences,Service Residence,3.0,1.0,2.0,850.0,0,"Swimming Pool, Lift, Security, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Squash Court, Tennis Court, Jogging Track, Club house, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Gombak,13,1,1,3,1,1,1,0,1400.0
